choraleNumber,voiceType,amountOFArpeggiation,averageMelodicInterval,averageNumberOfIndependentVoices,durationOfMelodicArcs,repeatedNotes,melodicTempiFullChorale,rangeFullChorale,stepwiseMinusChromaticFull,majorMinusMinorFull,dissonantChordsFull
111, W,0.289156627,2.307228916,1,10.57142857,0.138554217,-0.638890281,-0.138858534,0.313253012,-0.107692308,0.538461538
112, W,0.38,2.626666667,1,7.166666667,0.133333333,-0.406408124,0.995610591,0.3,0.37037037,0.555555556
113, W,0.274853801,1.959064327,1,13.16666667,0.16374269,-1.748109651,1.85435293,0.409356725,0.2,0.542857143
114, W,0.405,1.96,1,9.157894737,0.26,-0.192333408,-0.851846984,0.335,0.5,0.614285714
115, W,0.250814332,2.228013029,1,13.42857143,0.104234528,-2.715882518,0.243232599,0.426710098,0.280701754,0.543859649
116, W,0.29787234,1.984042553,1,10.625,0.207446809,-0.914613234,0.613519458,0.393617021,0.275362319,0.507246377
117, W,0.335526316,2.223684211,1,8.4375,0.190789474,0.726454111,0.546544651,0.361842105,0.254545455,0.618181818
118, W,0.219264892,2.307984791,1,16.4,0.086185044,1.322126874,1.736184307,0.418250951,0.08358209,0.47761194
119, W,0.310861423,1.958801498,1,15.25,0.172284644,-0.045570115,-0.666703555,0.314606742,0.1,0.56
120, W,0.344155844,2.415584416,1,9.066666667,0.155844156,-1.083359739,0.018699629,0.415584416,0.406779661,0.610169492
121, W,0.250764526,2.204892966,1,12.54166667,0.125382263,0.504202817,0.388986488,0.388379205,0.06557377,0.540983607
122, W,0.288043478,2.076086957,1,12,0.152173913,0.485533539,-1.300912924,0.423913043,0.164179104,0.52238806
123, W,0.269662921,2.191011236,1,11.64285714,0.157303371,0.190026036,-1.525445894,0.41011236,0.296875,0.515625
124, W,0.205298013,2.013245033,1,12.72727273,0.112582781,0.667684259,-0.733678362,0.503311258,0.358490566,0.547169811
125, W,0.285714286,1.952380952,1,18.30769231,0.166666667,-0.029758286,0.467765569,0.384920635,0.295918367,0.5
126, W,0.361842105,2.171052632,1,8.866666667,0.230263158,-0.29045796,-1.749978864,0.368421053,0.224137931,0.431034483
127, W,0.329411765,2.219607843,1,13,0.156862745,1.109797083,1.062585398,0.352941176,0.22826087,0.445652174
128, W,0.332142857,2.239285714,1,14.27777778,0.196428571,0.677030096,-0.060079452,0.367857143,0.230769231,0.557692308
129, W,0.214912281,2.434210526,1,9.80952381,0.039473684,0.731881413,-0.060079452,0.425438596,-0.012195122,0.5
130, W,0.250549451,2.138461538,1,17.79166667,0.125274725,0.190689422,0.916831509,0.4,0.047337278,0.544378698
131, W,0.325396825,2.317460317,1,8.461538462,0.198412698,-0.915035284,-0.284612422,0.357142857,0,0.571428571
132, W,0.295652174,2.426086957,1,11.05263158,0.113043478,-0.325758569,0.467765569,0.413043478,0.2625,0.5625
133, W,0.410810811,2.172972973,1,9.411764706,0.227027027,-0.323839691,0.243232599,0.286486486,0.432835821,0.582089552
134, W,0.35443038,2.094936709,1,9.066666667,0.158227848,1.073189425,0.838052428,0.35443038,0.209677419,0.5
135, W,0.229268293,2.429268293,1,7.869565217,0.092682927,1.465422523,-1.300912924,0.395121951,0.2875,0.4875
136, W,0.279452055,2.18630137,1,13.95833333,0.147945205,0.96838108,0.388986488,0.432876712,0.275590551,0.543307087
137, W,0.296829971,2.18443804,1,14.68181818,0.149855908,-2.646582536,0.388986488,0.374639769,0.307017544,0.605263158
138, W,0.292929293,1.96969697,1,8.7,0.186868687,-1.486842396,-1.300912924,0.393939394,0.357142857,0.585714286
139, W,0.305164319,2.272300469,1,10.66666667,0.159624413,0.192577778,-0.060079452,0.366197183,0.364864865,0.527027027
140, W,0.289340102,2.060913706,1,7.304347826,0.182741117,-0.587187194,-1.828757945,0.375634518,0.323943662,0.521126761
141, W,0.20083682,2.317991632,1,9.681818182,0.10041841,1.389230356,-2.277823885,0.49790795,0.30952381,0.595238095
142, W,0.190243902,2.068292683,1,7.04,0.107317073,-0.14886744,-1.604224975,0.463414634,0.267605634,0.549295775
143, W,0.340909091,2.083333333,1,5.722222222,0.212121212,0.176360908,1.444676531,0.303030303,0.145833333,0.5625
144, W,0.274509804,2.588235294,1,7.652173913,0.132352941,-0.892807778,0.164453518,0.387254902,0.223684211,0.539473684
145, W,0.341176471,2.08627451,1,14.6875,0.219607843,-0.06239155,0.164453518,0.364705882,0.397727273,0.556818182
146, W,0.285714286,2.102040816,1,9.777777778,0.163265306,-0.546877688,-0.548534933,0.397959184,0.263888889,0.486111111
147, W,0.325714286,2.217142857,1,9.117647059,0.171428571,-2.579649815,1.141364479,0.382857143,0.31147541,0.540983607
148, W,0.330232558,2.093023256,1,11.64705882,0.190697674,1.048124461,0.692298539,0.381395349,0.304878049,0.524390244
149, W,0.274285714,2.177142857,1,17.88888889,0.142857143,1.074116668,1.287118368,0.391428571,0.171875,0.484375
150, W,0.292372881,1.944915254,1,15.71428571,0.18220339,-1.21789666,0.613519458,0.338983051,-0.03030303,0.454545455
151, W,0.274074074,2.318518519,1,9.384615385,0.125925926,-0.440414585,-1.789368405,0.385185185,0.133333333,0.577777778
152, W,0.269662921,2.297752809,1,12.69230769,0.140449438,-0.44307561,2.039496359,0.398876404,0.206349206,0.587301587
